stock_id,name,entry_date,exit_date,entry_price,exit_price,realized_pnl_pct,stoploss_triggered,exit_reason,score
4741,泓瀚,2016-06-01,2016-07-01,87.0,99.5,0.13783566091954033,False,Normal Rebalance Exit,0.08702997072876319
5859,遠壽,2016-06-01,2016-06-29,10.81,0.0,-0.5,True,Stop Loss / Trailing Stop,0.06956039571934916
5871,中租-KY,2016-06-01,2016-07-01,50.0,52.1,0.03615750000000004,False,Normal Rebalance Exit,0.07224226466518804
6124,業強,2016-06-01,2016-06-27,22.15,20.5,-0.08033459932279899,True,Stop Loss / Trailing Stop,0.0889675689496837
6234,高僑,2016-06-01,2016-06-13,26.65,24.75,-0.07713705909943705,True,Stop Loss / Trailing Stop,0.0847569140631121
6414,樺漢,2016-06-01,2016-07-01,436.5,435.5,-0.008133450744558984,False,Normal Rebalance Exit,0.07437868148977379
6473,美賣*,2016-06-01,2016-06-13,29.0,26.9,-0.07825629310344831,True,Stop Loss / Trailing Stop,0.07849408147776599
6477,安集,2016-06-01,2016-06-14,26.65,24.0,-0.10527964821763594,True,Stop Loss / Trailing Stop,0.10155297453475454
6483,原創生醫,2016-06-01,2016-06-02,19.9,17.0,-0.15157114321608037,True,Stop Loss / Trailing Stop,0.10556417010897988
6492,生華科,2016-06-01,2016-07-01,153.0,149.76,-0.027018970588235353,False,Normal Rebalance Exit,0.07789941245285703
6534,正瀚-創,2016-06-01,2016-07-01,539.99,491.0,-0.0965664022944869,True,Stop Loss / Trailing Stop,0.14733471238414994
6542,隆中,2016-06-01,2016-06-20,167.6,0.0,-0.5,True,Stop Loss / Trailing Stop,0.19459267031326213
9917,中保科,2016-06-01,2016-07-01,90.0,93.1,0.028601944444444277,False,Normal Rebalance Exit,0.07327351813635953
2337,旺宏,2016-07-01,2016-08-01,2.83,4.18,0.4711893021201412,False,Normal Rebalance Exit,0.31361851602813995
2364,倫飛,2016-07-01,2016-08-01,1.68,1.78,0.053681309523809534,False,Normal Rebalance Exit,0.1184556406268667
3073,天方能源,2016-07-01,2016-08-01,8.61,15.05,0.7421249796747971,False,Normal Rebalance Exit,0.18025000477104255
3095,及成,2016-07-01,2016-08-01,2.6,3.33,0.2749267307692307,False,Normal Rebalance Exit,0.26604651659640044
3308,聯德,2016-07-01,2016-08-01,7.13,8.86,0.2367942461430574,False,Normal Rebalance Exit,0.12389562765792707
3362,先進光,2016-07-01,2016-08-01,19.5,22.6,0.15313185897435908,False,Normal Rebalance Exit,0.12977893606470964
