feature,horizon,ic_mean,ic_std,icir,win_rate,n_dates
breakout_20,5d,-0.013370521668466397,0.1117664169863586,-0.11962915184172278,0.4727272727272727,110
breakout_20,10d,0.002959050340605442,0.09621037551866354,0.030756041899362766,0.6095238095238096,105
breakout_20,20d,0.018899497047928274,0.10255802158502542,0.1842810221554411,0.5789473684210527,95
drawdown_60,5d,0.0007370411394821258,0.10063092067249853,0.0073242014935033005,0.5454545454545454,110
drawdown_60,10d,0.012464344451579039,0.09598944117926766,0.12985120340789272,0.5619047619047619,105
drawdown_60,20d,0.024585677072475515,0.10415737450866082,0.23604355609435207,0.6210526315789474,95
trust_net_5,5d,-0.026147375126607853,0.03864276049094067,-0.6766435625823831,0.2727272727272727,110
trust_net_5,10d,-0.033743745885908775,0.03607828453811298,-0.935292415310434,0.14285714285714285,105
trust_net_5,20d,-0.03446859335370458,0.03502526845991222,-0.9841064713937946,0.14736842105263157,95
amt_ratio_20,5d,-0.01574001385468263,0.043480606944954564,-0.3620007851916401,0.37272727272727274,110
amt_ratio_20,10d,-0.005175414498200344,0.04181508816104783,-0.12376906819537495,0.5047619047619047,105
amt_ratio_20,20d,0.012516026193033868,0.055360720188996064,0.22608134703279478,0.5473684210526316,95
dealer_net_5,5d,-0.008719043344844414,0.0459817413724193,-0.18961968565362464,0.42727272727272725,110
dealer_net_5,10d,-0.007697115833042055,0.044327024904628545,-0.1736438628489668,0.42857142857142855,105
dealer_net_5,20d,0.0062712823342571606,0.042551562917892895,0.1473807753279984,0.5578947368421052,95
ma_alignment,5d,-0.02263192408157911,0.04818187651107988,-0.46971861040685464,0.3181818181818182,110
ma_alignment,10d,-0.014893116594526743,0.046653186469904386,-0.3192304260746301,0.3619047619047619,105
ma_alignment,20d,-0.0036899693070803516,0.04294507442493409,-0.08592299248497612,0.42105263157894735,95
trust_net_20,5d,-0.026358601443582676,0.044719673912121775,-0.5894184625625787,0.3090909090909091,110
trust_net_20,10d,-0.031272751084806455,0.03812897245248122,-0.8201834215118324,0.20952380952380953,105
trust_net_20,20d,-0.0205140918637139,0.04128852860404901,-0.4968472492793594,0.3157894736842105,95
dealer_net_20,5d,-0.008010218438573267,0.05158951897459787,-0.15526832964884618,0.45454545454545453,110
dealer_net_20,10d,-0.006259609738200017,0.05133892172488018,-0.12192717587144895,0.5523809523809524,105
dealer_net_20,20d,0.01215807166102724,0.0324718939292282,0.3744183104171717,0.6105263157894737,95
foreign_net_5,5d,-0.00726364257043644,0.04750181152800145,-0.15291295924903106,0.42727272727272725,110
foreign_net_5,10d,-0.0010563636710122324,0.04262359024021474,-0.024783545099295003,0.4857142857142857,105
foreign_net_5,20d,-0.019489487613667762,0.039442370387161294,-0.49412566796471485,0.3368421052631579,95
foreign_net_20,5d,-0.011396949291009121,0.04232037180545645,-0.26930172880805575,0.4,110
foreign_net_20,10d,-0.017683330590154027,0.03853501884064334,-0.4588898908621581,0.3333333333333333,105
foreign_net_20,20d,-0.03249298358587412,0.02871125079543044,-1.1317160585370794,0.1368421052631579,95
theme_hot_score,5d,,,,,0
theme_hot_score,10d,,,,,0
theme_hot_score,20d,,,,,0
theme_return_20,5d,0.014457950659072778,0.08681826526248816,0.16653120878838465,0.5545454545454546,110
